id,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Downtown,PerCapitaIncome,most_freq_aspect
2516026,Entire home/apt,9.0,89.0,10.0,10.0,9.0,9.0,10.0,8.0,0.15,3818.15729032141,115985,nature
2518781,Private room,403.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.88,5938.450011002939,69778,bldg
2521327,Entire home/apt,24.0,88.0,10.0,9.0,10.0,10.0,8.0,9.0,0.38,6764.2680404761595,27830,attr_trans
2532756,Private room,18.0,82.0,9.0,9.0,9.0,9.0,9.0,8.0,0.26,3714.4306165379708,75612,comm
2538807,Entire home/apt,239.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3.5,8168.2260465504505,71145,comm
2539953,Entire home/apt,132.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.95,6407.566458489129,75581,comm
2550991,Entire home/apt,32.0,91.0,9.0,9.0,9.0,10.0,10.0,9.0,0.48,4947.209232630979,112158,int_style
2551994,Entire home/apt,63.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,0.92,4402.0230889076,96475,int_style
2557977,Private room,152.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.57,4850.81179642371,50836,attr_trans
2559297,Entire home/apt,38.0,88.0,9.0,9.0,9.0,10.0,10.0,9.0,0.56,4227.31100113031,82570,attr_trans
2564006,Entire home/apt,17.0,86.0,9.0,9.0,9.0,9.0,9.0,8.0,0.25,1458.05837854115,75305,attr_trans
2564140,Entire home/apt,20.0,87.0,9.0,9.0,9.0,9.0,9.0,9.0,0.3,1574.8517927874,75305,comm
2578122,Private room,182.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.8,3743.62562608156,84345,int_style
2592518,Entire home/apt,238.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,3.74,2035.91037887082,59622,comm
2614717,Private room,93.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1.37,8595.70411797374,46669,nature
2620371,Entire home/apt,13.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.2,2336.35943200892,123115,attr_trans
